w,x,y,z
0.640096605,0.589055777,-0.348724127,0.35,1511592003208.19
0.639993846,0.589191616,-0.348523527,0.35,1511592003245.60
0.640991509,0.588470459,-0.34873423,0.35,1511592003275.72
0.642506778,0.586879551,-0.349618435,0.35,1511592003310.38
0.645703137,0.58324486,-0.35158506,0.35,1511592003345.43
0.653061986,0.575627506,-0.355205953,0.34,1511592003375.57
0.665407479,0.562465966,-0.361587197,0.33,1511592003410.65
0.68552345,0.539669991,-0.372279346,0.32,1511592003441.21
0.727177441,0.484707922,-0.395064086,0.28,1511592003491.15
0.75482595,0.439848363,-0.412213057,0.26,1511592003524.63
0.792706788,0.367173463,-0.435922235,0.22,1511592003572.86
0.83305645,0.265978158,-0.460924596,0.15,1511592003628.93
0.854727149,0.18290627,-0.475592375,0.1,1511592003674.53
0.870028138,0.075567737,-0.48613742,0.03,1511592003727.18
0.870720923,-0.030290168,-0.48948288,-0.04,1511592003779.26
0.870720923,-0.030290168,-0.48948288,-0.04,1511592003784.22
0.870720923,-0.030290168,-0.48948288,-0.04,1511592003784.22
0.836295664,-0.241204515,-0.461334884,-0.17,1511592003928.38
0.819899619,-0.290246308,-0.451725632,-0.2,1511592003979.50
0.805998445,-0.327142626,-0.443655282,-0.22,1511592004008.02
0.786372542,-0.373360008,-0.431983918,-0.24,1511592004063.70
0.780688524,-0.385429353,-0.428860962,-0.24,1511592004089.03
0.780688524,-0.385429353,-0.428860962,-0.24,1511592004089.03
0.74957329,-0.441858679,-0.411824405,-0.27,1511592004208.26
0.746615291,-0.447914183,-0.408044308,-0.27,1511592004259.38
0.747568011,-0.447526604,-0.407642841,-0.27,1511592004312.42
0.749225199,-0.446494222,-0.407611459,-0.27,1511592004358.14
0.750672936,-0.445929408,-0.407780945,-0.27,1511592004410.68
0.750911117,-0.445985049,-0.408452749,-0.27,1511592004461.86
0.751108944,-0.446152836,-0.408807367,-0.26,1511592004510.92
0.751468539,-0.445803732,-0.408816934,-0.26,1511592004542.03
0.751530886,-0.446114302,-0.408766001,-0.26,1511592004579.13
0.751676977,-0.446095586,-0.409139007,-0.26,1511592004610.17
0.752266169,-0.445704639,-0.40901047,-0.26,1511592004646.30
0.75260824,-0.445682317,-0.408426881,-0.26,1511592004677.36
0.753200412,-0.444829077,-0.408638805,-0.26,1511592004710.57
0.754104972,-0.443824053,-0.408484995,-0.26,1511592004746.54
0.758374929,-0.437626541,-0.408545017,-0.26,1511592004792.75
0.770593345,-0.418003887,-0.412189841,-0.25,1511592004845.85
0.787415802,-0.388248235,-0.418148905,-0.23,1511592004895.96
0.804305792,-0.354836732,-0.424682051,-0.22,1511592004931.04
0.834979594,-0.283606738,-0.434621781,-0.18,1511592004980.18
0.857107699,-0.22068885,-0.439420134,-0.15,1511592005027.29
0.879692197,-0.132919833,-0.443437904,-0.11,1511592005077.39
0.889735103,-0.071981959,-0.444372028,-0.08,1511592005127.49
0.896209776,0.006321781,-0.442639321,-0.03,1511592005180.66
0.8944695,0.086894944,-0.438023925,0.02,1511592005229.77
0.889691889,0.129362047,-0.434854865,0.05,1511592005265.88
0.889691889,0.129362047,-0.434854865,0.05,1511592005265.88
0.889691889,0.129362047,-0.434854865,0.05,1511592005265.88
0.889691889,0.129362047,-0.434854865,0.05,1511592005265.88
0.889691889,0.129362047,-0.434854865,0.05,1511592005265.88
0.889691889,0.129362047,-0.434854865,0.05,1511592005265.88
0.889691889,0.129362047,-0.434854865,0.05,1511592005265.88
0.889691889,0.129362047,-0.434854865,0.05,1511592005265.88
0.889691889,0.129362047,-0.434854865,0.05,1511592005265.88
0.889691889,0.129362047,-0.434854865,0.05,1511592005265.88
0.889691889,0.129362047,-0.434854865,0.05,1511592005265.88
0.889691889,0.129362047,-0.434854865,0.05,1511592005265.88
0.889691889,0.129362047,-0.434854865,0.05,1511592005265.88
0.889691889,0.129362047,-0.434854865,0.05,1511592005265.88
